Place,Latitude,Longitude,Number,Latitude,Longitude
Liege,N 50° 38' 1'',E 5° 34' 3'',2792413,50.63373,5.56749
Gorze,N 49° 3' 8'',E 6° 0' 2'',6454360,49.05389,5.99889
Trier,N 49° 45' 20'',E 6° 38' 21'',11203701,49.73797,6.63149
Cologne,N 50° 56' 0'',E 6° 57' 0'',6324464,50.94123,6.95823
Prüm,N 50° 12' 28'',E 6° 25' 12'',2851826,50.20785,6.42019
Mainz,N 49° 59' 3'',E 8° 16' 44'',11186117,49.99842,8.27456
Hildesheim,N 52° 9' 2'',E 9° 57' 4'',6557424,52.1531,9.95553
Hersfeld,N 50° 52' 19'',E 9° 42' 32'',11204278,50.86627,9.70224
Fulda,N 50° 33' 5'',E 9° 40' 30'',11609731,50.55404,9.67038
Bamberg,N 49° 53' 55'',E 10° 54' 2'',11153827,49.8907,10.88253
Regensburg,N 49° 0' 54'',E 12° 6' 5'',2849483,49.01513,12.10161
Niederaltaich,N 48° 45' 56'',E 13° 1' 26'',2863667,48.76564,13.02412
Tegernsee,N 47° 42' 44'',E 11° 45' 29'',2879594,47.7713,11.72077
Reichenau,N 46° 49' 37'',E 9° 24' 27'',2659081,46.82704,9.4076
Einsiedeln,N 47° 7' 42'',E 8° 44' 50'',11609530,47.12693,8.75345
Salzburg,N 47° 47' 57'',E 13° 2' 38'',6956631,47.7979,13.0466
Freising,N 48° 24' 12'',E 11° 44' 55'',11169190,48.399,11.744
Worms,N 49° 37' 58'',E 8° 21' 33'',2806142,49.63278,8.35916
Tours,N 47° 23' 41'',E 0° 42' 14'',2972191,47.39484,0.70398
Reims,N 49° 15' 54'',E 4° 1' 42'',2984114,49.26526,4.02853
Metz,N 49° 7' 8'',E 6° 10' 21'',2994160,49.11911,6.17269
Monte Cassino,N 41° 29' 21'',E 13° 48' 44'',3173005,,
Weissenburg,N 49° 1' 51'',E 10° 58' 19'',2811912,,
Vienna,N 48° 12' 30'',E 16° 22' 19'',2761369,,
Novara,N 45° 26' 49'',E 8° 37' 16'',6542119,,
Würzburg,N 49° 47' 38'',E 9° 57' 4'',2805615,,
Lorsch,N 49° 39' 0'',E 8° 34' 0'',11204726,,
Munich,N 48° 8' 14'',E 11° 34' 31'',2867714,,
Gotha,N 50° 56' 53'',E 10° 42' 6'',2918752,,
St. Gall,N 47° 25' 26'',E 9° 22' 29'',7287240,,
vatican,N 41° 54' 9'',E 12° 27' 14'',6691831,,
Germany,N 51° 32' 3'',E 9° 55' 56'',2918633,,
E. France,N 48° 41' 3'',E 6° 11' 5'',2990999,,
Italy,N 43° 6' 43'',E 12° 23' 19'',3171180,,
Lombardy,N 45° 40' 0'',E 9° 30' 0'',3173435,,
lorraine,N 48° 46' 0'',E 6° 8' 0'',2990999,,
NE France,N 50° 10' 33'',E 3° 14' 5'',3029030,,
NW Germany,N 53° 4' 32'',E 8° 48' 25'',2944389,,
S. Burgundy,N 43° 56' 54'',E 4° 48' 32'',3035680,,
S. France,N 43° 36' 15'',E 1° 26' 37'',2972313,,
Saxony,N 51° 0' 0'',E 13° 15' 0'',2879139,,
SW France,N 44° 50' 25'',W 0° 34' 49'',6447895,,